,owner,title,type,tech,description
0,PradumanS,revert-commit,Public,-,
1,Ashutosh975537,DSA,Public,C++,
2,Ashutosh975537,WEBD,Public,HTML,
3,Ashutosh975537,gfgcodingcontest,Public,C++,
4,Ashutosh975537,leetCodePotd,Public,-,This leetCodePotd solution by Ashutosh Giri Goswami
5,Ashutosh975537,Minor_project,Public,Jupyter Notebook,This minor projects model
6,Ashutosh975537,javaScriptCoding,Public,-,
7,Omkar-Deota,Python,Public,Jupyter Notebook,Here you will be getting different python modules in action.
8,Omkar-Deota,Web-Projects,Public,JavaScript,Simple and beginner level to advance work on websites.
9,Omkar-Deota,coal_manager,Public,JavaScript,
10,Omkar-Deota,React,Public,JavaScript,
11,Omkar-Deota,Yukti,Public,JavaScript,
12,Omkar-Deota,Camper-s-Home,Public,JavaScript,A campground locator application
13,KaranSiddhu,DSA-cheatsheet,Public,C++,Data Structure and Algorithm (DSA)
14,KaranSiddhu,My-Reference-React-Native,Public,JavaScript,
15,KaranSiddhu,Note-Taking-App,Public,JavaScript,I have created this app using React Native and in this app i learned how to use CRUD operations in React Native.
16,KaranSiddhu,fully-responsive-website,Public,JavaScript,
17,KaranSiddhu,e-commerce-website-backend,Public,JavaScript,Here is the API link
18,KaranSiddhu,e-commerce-website-frontend,Public,JavaScript,Link to my E-commerce website
19,akash02ab,-,-,-,-
20,akash02ab,dsa,Public,-,-
21,akash02ab,spotify-profile-view,Public,JavaScript,-
22,akash02ab,everyone-answers,Public,JavaScript,-
23,akash02ab,memory-game,Public,JavaScript,-
24,akash02ab,movies-website,Public,JavaScript,-
25,akash02ab,re-accordion,Public,TypeScript,-
26,akash02ab,-,-,-,-
27,badmuffin,-,-,-,-
28,badmuffin,Restaurant-backend,Public,TypeScript,-
29,badmuffin,blog-crud-typescript,Public,TypeScript,-
30,badmuffin,completeIQ,Public,JavaScript,-
31,badmuffin,Restaurant-frontend,Public,TypeScript,-
32,badmuffin,ml-algo-scratch,Public,Python,-
33,badmuffin,Restate,Public,TypeScript,-
34,badmuffin,-,-,-,-
35,Ashutosh975537,DSA,Public,C++,-
36,Ashutosh975537,WEBD,Public,HTML,-
37,Ashutosh975537,gfgcodingcontest,Public,C++,-
38,Ashutosh975537,leetCodePotd,Public,-,-
39,Ashutosh975537,Minor_project,Public,Jupyter Notebook,-
40,Ashutosh975537,javaScriptCoding,Public,-,-
41,Ashutosh975537,-,-,-,-
42,akshatsoni1,-,-,-,-
43,akshatsoni1,GameJunction,Public,JavaScript,-
44,akshatsoni1,Meme-App,Public,JavaScript,-
45,akshatsoni1,New-Notes-App,Public,JavaScript,-
46,akshatsoni1,textUtils,Public,JavaScript,-
47,akshatsoni1,TicTacToe_byAkshat.github.io,Public,CSS,-
48,akshatsoni1,Budgetify,Public,JavaScript,-
49,akshatsoni1,-,-,-,-
